phrase	count	pmi	parts_gloss	ref
אלעזר ואיתמר	30	10.89	שם פרטי אלעזר · שם פרטי	פיוט #74 — לית בבל יוטיה : וטרקה אתהו עבורן * ישתבח
ישראל והמקרא	30	7.52	ישראל, שמו של יעקב · מנוחה	פיוט #79 — צלות שבת צמות הפסח
ישראל והמקרא על	30	13.89	ישראל, שמו של יעקב · מנוחה · על (מילת יחס)	פיוט #79 — צלות שבת צמות הפסח
דשלח משה	30	7.1	להישלח, לשלוח · משה (שם פרטי)	פיוט #80 — צלות שבת צמות הפסח
אשר פדית	30	7.33	דברים · גאולה, הצלה, רווחה, פד	פיוט #90 — צלות שבת צמות הפסח
שבעת ימימ	30	9.88	נשבעו, נתחייבו בשבועה · שבועה, oath	פיוט #207 — פסח ואת בתינו הציל
אלהי הרוחות	30	7.98	אלוהות, God · תנועת אוויר, רוח, רוח 	פיוט #217 — ויקבלבם וירחטכם ומועד מברך עליכם
וביומ השמיני	30	9.88	יום · שמיני (מספר סודר)	פיוט #587 — מאיביבם : וביום שמחותכם ובמועדיכם * ובראשי חדשיכם
אלהי אלהי	30	4.24	אלוהות, God · אלוהות, God	פיוט #593 — (ללא כותרת)
בגדלו בגדלו	30	8.06	גדולה, עוצמה (greatnes · גדולה, עוצמה (greatnes	פיוט #593 — (ללא כותרת)
חתנה וילידה	30	12.01	חתן, בן-זוג של בת · לידה, מסירה (delivery)	פיוט #611 — ישתבח קעימה דלא מאת
על חתנה וילידה	30	18.37	על (מילת יחס) · חתן, בן-זוג של בת · לידה, מסירה (delivery)	פיוט #611 — ישתבח קעימה דלא מאת
יתהלל אלהינו	29	6.94	שבח, praise · אלוהות, God	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ימ סופ	29	9.01	ים, מקווה מים, ארץ ואר · קץ, סוף, אחרית	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ויאמר יהוה	29	4.4	1. אמירה, דיבור, מוצא  · יהוה, שם האלהים	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
אברהמ לכ נברכ	29	15.66	שם פרטי: אברהם · אותך · להיות גבוה, נישא	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
תפנ אל	29	6.54	כלי נגינה, תוף · אלוהות, אלהים	פיוט #28 — עורן כן על יום הכפור הקדוש על פינחס
פמ אחד	29	8.06	פה (בלשון יחיד) · אחד	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן
מועד הפסח	29	7.71	מועד, זמן קבוע, אסיפה · קפיצה, דילוג (leaping 	פיוט #77 — צלות שבת צמות הפסח
סלח לעמכ ישראל	29	16.9	לסלוח · גוי, קיבוץ בני אדם · ישראל, שמו של יעקב	פיוט #87 — והוא קטף הברית
בקדש כל	29	4.7	בקדושה · כל, כולו	פיוט #94 — צלות שבת צמות הפסח
אלהימ אינ	29	6.01	אלוהים, אל · אין	פיוט #95 — צלות שבת צמות הפסח
הוא האלהימ	28	6.13	היה, to be (intrans.) · אלוהים, אל	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
מלב ומנפש	28	12.58	לב, נשמת האדם, קרב, תו · רווח, מרווח (space, in	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
עשרת הדברימ	28	10.44	עשר, מספר עשרה · זיכרון, אזכרה, מנחת זי	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
אפימ ורב	28	10.83	פנים · שר, ראש, אדון	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
יומ צומה	28	7.9	יחידת זמן: יום, שבת · צם (קל)	פיוט #39 — רראה עורן
יסלח לו	28	6.05	כפרה, סליחה, ניקוי · ועד	פיוט #56 — ז עודנה על שבתה חמישה דיזמן
כל אחד	28	2.66	כל, כולו · אחד	פיוט #76 — לעבדת אהל מועד ־ ראלהים קדשה
טבו מנ	28	4.74	חסד, טובה, מעשה טוב · דברים	פיוט #77 — צלות שבת צמות הפסח
ושמע ישראל והמקרא	28	18.51	ושמע · ישראל, שמו של יעקב · מנוחה	פיוט #79 — צלות שבת צמות הפסח
ושמע ישראל והמקרא על	28	24.87	ושמע · ישראל, שמו של יעקב · מנוחה · על (מילת יחס)	פיוט #79 — צלות שבת צמות הפסח
מימר אדוננ	28	7.97	משה · אדון, מושל, ראשי	פיוט #87 — והוא קטף הברית
משה אשר	28	1.83	משה (שם פרטי) · דברים	פיוט #150 — צלות השבת הראש דמן חדש הראישוץ
לא יהיה	28	4.74	מילת שלילה והאיסור · מהירות swiftness	פיוט #178 — אש ליל * וענן יומם
ובתר זה	28	6.15	אחרי אשר, after · זה, this	פיוט #218 — צלות מועד הפסח במדינה
אלהי אלהי אלהי	28	12.74	אלוהות, God · אלוהות, God · אלוהות, God	פיוט #593 — (ללא כותרת)
אל אלהי	27	2.26	אלוהות, אלהים · אלוהות, God	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
כל יומ	27	2.14	כל, כולו · יחידת זמן: יום, שבת	פיוט #5 — אזל שלם יום שבתה
וחנונ ארכ	27	9.1	רחום, merciful · אורך, הימשכות, דיארכון	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ארכ אפימ ורב	27	22.38	אורך, הימשכות, דיארכון · פנים · שר, ראש, אדון	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
סלח נא	27	8.59	לסלוח · מילת זירוז: שאל נא, אנ	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
העמ הזה	27	7.21	העם · זה, this	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
לו יהוה	27	1.18	ועד · יהוה, שם האלהים	פיוט #56 — ז עודנה על שבתה חמישה דיזמן
אמנ אמנ	27	4.91	עמידה, וקיום, התמדה, א · עמידה, וקיום, התמדה, א	פיוט #58 — מרי אטרנון בלילה ואיממה
זה יומ	27	3.21	זה, this · יחידת זמן: יום, שבת	פיוט #59 — אמנות העיבתות והמועדים
ושוב מחרונ	27	10.29	שבת שבתות, שבת למועדים · חרון, זעם (wrath)	פיוט #64 — תפלה * , אלתפלה ג *-גו אבישע
וקצי הבריה	27	11.38	גזירה וכריתה · ביריה	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
בכל הימימ	27	6.65	כל, כולו · שבועה, oath	פיוט #74 — לית בבל יוטיה : וטרקה אתהו עבורן * ישתבח
וכל מנונ	27	5.64	מידה, מדידה · מהם	פיוט #88 — צלות שבת צמות הפסח
וכי בשמ וקצי	27	19.76	כי, ש־ (before object  · בשם · גזירה וכריתה	פיוט #98 — צלות לילת חדש הראישון רטשה
כל שנה	27	2.97	כל, כולו · שנה	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש
ישר הישרימ	27	9.99	ישראל · טוב, ישר, upright	פיוט #214 — צלות מועך הפסח במדינה
במספר שבע	27	10.31	מספר, מניין · שבע (ויקשן אולד ית... 	פיוט #354 — רכן ארכן וטרקה עבורה רעלמה תסתגד וחשתבח וישתבח
תרועה מקרא	27	11.28	תקיעת חצוצרה, תרועה · קורא, reader	פיוט #587 — מאיביבם : וביום שמחותכם ובמועדיכם * ובראשי חדשיכם
זכרונ תרועה	27	10.64	זכרון, אזכרה · תקיעת חצוצרה, תרועה	פיוט #641 — בה פקודים וגזרה: מהם מועדיה דאתקדשו
שבתונ זכרונ תרועה	27	22.94	שבתון, מנוחה · זכרון, אזכרה · תקיעת חצוצרה, תרועה	פיוט #641 — בה פקודים וגזרה: מהם מועדיה דאתקדשו
יהוה הוא	26	2.44	יהוה, שם האלהים · היה, to be (intrans.)	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
יהוה אלהינו יהוה אחד	26	18.76	יהוה, שם האלהים · אלוהות, God · יהוה, שם האלהים · אחד	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
משה נבינו	26	6.76	משה (שם פרטי) · נביא, prophet	פיוט #60 — ישתבח אלהים לית אלה אלא אחד
עליו עוד	26	6.88	עליו · עוד	פיוט #82 — צלות שבת צמות הפסח
ואמר לו	26	4.69	אדון (נאמר על האלוהים) · ועד	פיוט #85 — צלות שבת צמות הפסח
פדית יהוה	26	6.44	גאולה, הצלה, רווחה, פד · יהוה, שם האלהים	פיוט #90 — צלות שבת צמות הפסח
וכל שנה	26	5.06	מידה, מדידה · שנה	פיוט #90 — צלות שבת צמות הפסח
אשר פדית יהוה	26	13.76	דברים · גאולה, הצלה, רווחה, פד · יהוה, שם האלהים	פיוט #90 — צלות שבת צמות הפסח
קטפ כל נשמה	26	17.65	משחה, סיכה על ראש · כל, כולו · נשמה, רוח חיים	פיוט #111 — צלות לילת חדש הראישון רמשה
על פני	26	3.27	על (מילת יחס) · פני	פיוט #132 — צלות יום הדש הראישון אן אתא בשבת
במספר שבע שבתות	26	21.71	מספר, מניין · שבע (ויקשן אולד ית...  · ישיבה, שהייה בישיבה	פיוט #354 — רכן ארכן וטרקה עבורה רעלמה תסתגד וחשתבח וישתבח
בגדלו בגדלו בגדלו	26	18.36	גדולה, עוצמה (greatnes · גדולה, עוצמה (greatnes · גדולה, עוצמה (greatnes	פיוט #593 — (ללא כותרת)
אלהי אלהי אלהי אלהי	26	21.22	אלוהות, God · אלוהות, God · אלוהות, God · אלוהות, God	פיוט #593 — (ללא כותרת)
ואלהי אבותינו	25	10.51	אלוהות, God · אָבוֹת	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
יהוד אל	25	3.16	splendor, הדר, הוד · אלוהות, אלהים	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ויברכ אלהימ	25	7.53	ברך · אלוהים, אל	פיוט #10 — ב מימריו ן
את יומ השביעי	25	13.82	אתה (כינוי גוף שני זכר · יחידת זמן: יום, שבת · השביעי	פיוט #10 — ב מימריו ן
רחומ וחנונ ארכ	25	18.73	רחום, חנון וחמלן · רחום, merciful · אורך, הימשכות, דיארכון	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
בכל אתר	25	6.63	כל, כולו · מקום	פיוט #13 — צלות מרקה
כל כלומ	25	4.6	כל, כולו · 1. דבר, כלום, משהו (an	פיוט #13 — צלות מרקה
על ישראל	25	1.13	על (מילת יחס) · ישראל, שמו של יעקב	פיוט #31 — עורן כן על מועדיה וראשי ירחיה
מה רבו	25	5.67	מה · 1. גדולה, גדלות בעולמה	פיוט #61 — השבת • צלי ואקרי וברך בשם יהוה
בשמ וקצי הבריה	25	20.53	בשם · גזירה וכריתה · ביריה	פיוט #65 — ופסחתי עליכם : ולא יהיה בכם נגף
אל אהרנ	25	3.82	אלוהות, אלהים · אהרן (שם עצם: הכהן הגד	פיוט #73 — צלות שבת צמות הפסח
ויתמר יתהלל	25	6.75	תמר, עץ דקל ופרי (palm · שבח, praise	פיוט #74 — לית בבל יוטיה : וטרקה אתהו עבורן * ישתבח
שנה תעשו	25	7.45	שנה · עשה, יצר	פיוט #78 — צלות שבת צמות הפסח
זה המימר	25	6.47	זה, this · 1. מילה, saying, word	פיוט #78 — צלות שבת צמות הפסח
תלו ידיכונ	25	11.98	תל, ערמת (פסולת), heap · יד, אבר הגוף	פיוט #80 — צלות שבת צמות הפסח
ומרנ יקבל	25	10.55	אדון (נאמר על האלוהים) · נשא חטא, חובה, אשמה	פיוט #95 — צלות שבת צמות הפסח
יתהלל אלהימ אינ	25	16.19	שבח, praise · אלוהים, אל · אין	פיוט #95 — צלות שבת צמות הפסח
הצדיק והישר	25	10.58	צדיק, הולך בצדק ובהגינ · להיות ישר	פיוט #108 — צלות לילת חדש הראישון רטשה
בשמ ויתרבי	25	8.51	בשם · טיפוח, גידול, תרבית גב	פיוט #112 — צלות לילת חדש הראישון רמשה
אתהו דבריכ	25	10.71	אתהו = הוא (משמש כפועל · הולכה, ניהול (conducti	פיוט #113 — צלוה לילת חדש הראישון רמשה
אל קדש	25	2.69	אלוהות, אלהים · קידוש, הקדשה	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש
יומה אה	25	3.62	היום, כיום · הנה	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש
שנה אה	25	3.74	שנה · הנה	פיוט #139 — צלות יום הדש הראישון אן אתא בשבת
אלהי האלהימ	24	5.54	אלוהות, God · אלוהים, אל	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
